-1.0, 1.00E-09, -4.29E-03, 9
-1.0, 1.00E-10, -2.14E-03, 10
-1.0, 1.00E-11, -1.07E-03, 11
-1.0, 1.00E-12, -5.36E-04, 12
-1.0, 1.00E-13, -5.36E-04, 12
-1.0, 1.00E-14, -2.68E-04, 13
-1.0, 1.00E-15, -1.34E-04, 14
-1.0, 1.00E-16, -6.70E-05, 15
-1.0, 1.00E-17, -3.35E-05, 16
-1.0, 1.00E-18, -1.67E-05, 17
-1.0, 1.00E-19, -1.67E-05, 17
-1.0, 1.00E-20, -8.37E-06, 18
-0.9, 1.00E-01, -3.73E-01, 2
-0.9, 1.00E-02, -1.87E-01, 3
-0.9, 1.00E-03, -9.33E-02, 4
-0.9, 1.00E-04, -9.33E-02, 4
-0.9, 1.00E-05, -4.66E-02, 5
-0.9, 1.00E-06, -2.33E-02, 6
-0.9, 1.00E-07, -1.17E-02, 7
-0.9, 1.00E-08, -5.83E-03, 8
-0.9, 1.00E-09, -2.91E-03, 9
-0.9, 1.00E-10, -2.91E-03, 9
-0.9, 1.00E-11, -1.46E-03, 10
-0.9, 1.00E-12, -7.29E-04, 11
-0.9, 1.00E-13, -3.64E-04, 12
-0.9, 1.00E-14, -1.82E-04, 13
-0.9, 1.00E-15, -9.11E-05, 14
-0.9, 1.00E-16, -9.11E-05, 14
-0.9, 1.00E-17, -4.55E-05, 15
-0.9, 1.00E-18, -2.28E-05, 16
-0.9, 1.00E-19, -1.14E-05, 17
-0.9, 1.00E-20, -5.69E-06, 18
-0.8, 1.00E-01, -5.27E-01, 1
-0.8, 1.00E-02, -2.66E-01, 2
-0.8, 1.00E-03, -1.33E-01, 3
-0.8, 1.00E-04, -6.64E-02, 4
-0.8, 1.00E-05, -3.32E-02, 5
-0.8, 1.00E-06, -1.66E-02, 6
-0.8, 1.00E-07, -1.66E-02, 6
-0.8, 1.00E-08, -8.30E-03, 7
-0.8, 1.00E-09, -4.15E-03, 8
-0.8, 1.00E-10, -2.07E-03, 9
-0.8, 1.00E-11, -1.04E-03, 10
-0.8, 1.00E-12, -5.19E-04, 11
-0.8, 1.00E-13, -5.19E-04, 11
-0.8, 1.00E-14, -2.59E-04, 12
-0.8, 1.00E-15, -1.30E-04, 13
-0.8, 1.00E-16, -6.48E-05, 14
-0.8, 1.00E-17, -3.24E-05, 15
-0.8, 1.00E-18, -1.62E-05, 16
-0.8, 1.00E-19, -1.62E-05, 16
-0.8, 1.00E-20, -8.10E-06, 17
-0.7, 1.00E-01, -3.94E-01, 1
-0.7, 1.00E-02, -1.97E-01, 2
-0.7, 1.00E-03, -9.84E-02, 3
-0.7, 1.00E-04, -9.84E-02, 3
-0.7, 1.00E-05, -4.92E-02, 4
-0.7, 1.00E-06, -2.46E-02, 5
-0.7, 1.00E-07, -1.23E-02, 6
-0.7, 1.00E-08, -6.15E-03, 7
-0.7, 1.00E-09, -3.07E-03, 8
-0.7, 1.00E-10, -3.07E-03, 8
-0.7, 1.00E-11, -1.54E-03, 9
-0.7, 1.00E-12, -7.69E-04, 10
-0.7, 1.00E-13, -3.84E-04, 11
-0.7, 1.00E-14, -1.92E-04, 12
-0.7, 1.00E-15, -9.61E-05, 13
-0.7, 1.00E-16, -9.61E-05, 13
-0.7, 1.00E-17, -4.80E-05, 14
-0.7, 1.00E-18, -2.40E-05, 15
-0.7, 1.00E-19, -1.20E-05, 16
-0.7, 1.00E-20, -6.01E-06, 17
-0.6, 1.00E-01, -3.08E-01, 1
-0.6, 1.00E-02, -3.08E-01, 1
-0.6, 1.00E-03, -1.54E-01, 2
-0.6, 1.00E-04, -7.71E-02, 3
-0.6, 1.00E-05, -3.86E-02, 4
-0.6, 1.00E-06, -1.93E-02, 5
-0.6, 1.00E-07, -9.64E-03, 6
-0.6, 1.00E-08, -9.64E-03, 6
-0.6, 1.00E-09, -4.82E-03, 7
-0.6, 1.00E-10, -2.41E-03, 8
-0.6, 1.00E-11, -1.21E-03, 9
-0.6, 1.00E-12, -6.03E-04, 10
-0.6, 1.00E-13, -3.01E-04, 11
-0.6, 1.00E-14, -3.01E-04, 11
-0.6, 1.00E-15, -1.51E-04, 12
-0.6, 1.00E-16, -7.53E-05, 13
-0.6, 1.00E-17, -3.77E-05, 14
-0.6, 1.00E-18, -1.88E-05, 15
-0.6, 1.00E-19, -9.41E-06, 16
-0.6, 1.00E-20, -9.41E-06, 16
-0.5, 1.00E-01, -5.00E-01, 0
